"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000068699","Flnc","68794",783.622157706308,0.853988428204154,0.08001897742024,10.6723236879074,1.37152861790368e-26,2.10228255986319e-24
"ENSMUSG00000000628","Hk2","15277",922.735251661917,0.771239097268091,0.0724472109687421,10.6455319253194,1.82936423800351e-26,2.78630698655408e-24
"ENSMUSG00000030786","Itgam","16409",557.580916700907,0.880166523949831,0.082697230902247,10.6432405819034,1.87492762897862e-26,2.83774423845098e-24
"ENSMUSG00000027447","Cst3","13010",54344.8895678976,0.390456135117111,0.0367426497291506,10.626782172635,2.23698006414411e-26,3.36455782772675e-24
"ENSMUSG00000052085","Dock8","76088",884.314514038408,0.890377599165212,0.0845646259853905,10.5289604109292,6.35322301523101e-26,9.4962926622071e-24
"ENSMUSG00000024397","Aif1","11629",414.240265846025,0.954815435346165,0.0907708829118679,10.5189616396397,7.06478504797255e-26,1.0494694578979e-23
"ENSMUSG00000051506","Wdfy4","545030",500.848185248357,0.953614894285339,0.0906939032985948,10.5146526900019,7.39527741228526e-26,1.09182423881377e-23
"ENSMUSG00000054520","Sh3bp2","24055",485.804547687198,1.04442871345486,0.0995472812249629,10.4917854169679,9.42307023798278e-26,1.38272064193327e-23
"ENSMUSG00000025877","Hk3","212032",224.908510922141,1.19212394829602,0.1153539742518,10.3344852748099,4.92046556399679e-25,7.17642447258078e-23
"ENSMUSG00000026748","Plxdc2","67448",6841.19519648457,0.443974610164493,0.0430719333152255,10.3077474353247,6.50071129792358e-25,9.42407333641753e-23
"ENSMUSG00000031103","Elf4","56501",275.207184590433,1.11163389984283,0.108443929425303,10.2507711195445,1.17403134010626e-24,1.69180025147648e-22
"ENSMUSG00000002111","Spi1","20375",374.546633805917,1.16643704378757,0.113943767500995,10.2369534496688,1.35433970649085e-24,1.94001101408942e-22
"ENSMUSG00000022901","Cd86","12524",269.24984796588,1.4624906583103,0.143006528061718,10.226740542076,1.50499695372333e-24,2.14306223025751e-22
"ENSMUSG00000021998","Lcp1","18826",1600.15680680667,0.707570662216924,0.0695526277076442,10.1731693760171,2.61266307342446e-24,3.69845510952704e-22
"ENSMUSG00000024610","Cd74","16149",1149.73744628551,1.92714031304973,0.190804968089692,10.1000531188676,5.52122748955355e-24,7.7700783354448e-22
"ENSMUSG00000022037","Clu","12759",60763.6635396278,0.355721736230496,0.035337288158711,10.0664695783343,7.77178555403779e-24,1.0873722055693e-21
"ENSMUSG00000053158","Fes","14159",577.537693163983,0.728134007717958,0.0726816414197802,10.0181282851408,1.26883009171987e-23,1.76499399752824e-21
"ENSMUSG00000021876","Rnase4","58809",1088.39297981958,0.811684478498919,0.0811150903733234,10.0065779963165,1.42599885359704e-23,1.97222197769038e-21
"ENSMUSG00000074622","Mafb","16658",2135.34258792768,0.678242038238734,0.0678350894185018,9.99839528557835,1.54886506927764e-23,2.12991073669523e-21
"ENSMUSG00000029771","Irf5","27056",436.64047822781,1.00899208716625,0.101001404593366,9.98988173707561,1.68782990763654e-23,2.30781970041325e-21
"ENSMUSG00000029371","Cxcl5","20311",120.313998718887,1.86171896796574,0.186606489393752,9.97671074577366,1.92750727363598e-23,2.62064760113276e-21
"ENSMUSG00000079110","Capn3","12335",710.979697486405,0.886148805336351,0.0889256071365169,9.96505769115472,2.16747990360685e-23,2.93035976855611e-21
"ENSMUSG00000035778","Ggta1","14594",680.947918776074,0.981063742446636,0.0986215351293872,9.94776385461373,2.57913289891562e-23,3.46742084985499e-21
"ENSMUSG00000062082","Cd200r4","239849",59.7805713331849,2.93912513858386,0.295631728895394,9.9418460581538,2.73707049350958e-23,3.65931119035044e-21
